1	2950.0	175.0	20.0	2861.0
2	2039.0	101.0	8.0	2499.0
3	1048.0	137.0	10.0	508.0
4	1434.0	202.0	14.0	502.0
5	962.0	82.0	10.0	911.0
6	1902.0	198.0	8.0	1776.0
7	2864.0	365.0	8.0	1496.0
8	1412.0	147.0	18.0	920.0
9	1500.0	225.0	8.0	464.0
10	616.0	75.0	6.0	377.0
11	1031.0	177.0	14.0	297.0
12	752.0	101.0	8.0	355.0
13	570.0	43.0	16.0	593.0
14	557.0	58.0	18.0	489.0
15	592.0	12.0	8.0	955.0
16	397.0	25.0	6.0	529.0
17	1122.0	194.0	14.0	379.0
18	925.0	64.0	12.0	1008.0
19	1501.0	132.0	10.0	1380.0
20	1615.0	189.0	14.0	903.0
21	1479.0	91.0	20.0	1968.0
22	2356.0	304.0	2.0	1424.0
23	2680.0	318.0	22.0	1666.0
24	1879.0	255.0	10.0	1189.0
25	1874.0	187.0	8.0	1537.0
26	2133.0	251.0	10.0	1354.0
27	2588.0	281.0	16.0	2447.0
28	1563.0	124.0	8.0	1452.0
29	2009.0	212.0	14.0	1193.0
30	1735.0	234.0	10.0	1048.0
