TCP,HTTP,SMTP,FTP,TELNET,DNS,OTHER
1.6477396476485,-0.564990948630229,-0.697099897068471,-0.854101421828063,-0.417932739481093,1.48789227738661,-0.601506918027251
1.74145330426627,-0.728371141302942,-0.90633978947102,-0.740597994993878,0.308194343828689,1.14233747341037,-0.816676195737484
2.28502131264678,-0.295941330137381,-0.674096785405197,-0.799115392201388,-0.25048001857513,0.367380534020919,-0.632768320348606
2.23987970943491,-0.317636782958466,-0.801039823395477,-0.772546554751832,-0.0808478952647267,0.414345463231724,-0.682154116296131
2.13513277867887,-0.41323542572563,-0.811018139512183,-0.82846474976598,0.00199389831471951,0.637050511552901,-0.721458873542696
2.40207456880219,-0.124865743618532,-0.482016882000185,-0.597226926639428,-0.0864623954054508,-0.566504248068963,-0.544998373069637
2.4011665359658,-0.156597817562987,-0.511280822379915,-0.607687947850288,-0.0518592121136927,-0.541036108018919,-0.532704628039998
2.43073555440702,-0.175575116999921,-0.538601909083185,-0.289194189331324,-0.520589129323328,-0.502576349563472,-0.404198860105793
2.41456101197908,-0.325767057559925,-0.475719798535549,-0.537099417898629,-0.0289694044371858,-0.519229402134694,-0.527775931413098
2.37970514219065,-0.181007203806926,-0.550134360621863,-0.648854414188648,0.0705143239762753,-0.573312112328847,-0.496911375220639
2.3787911426689,-0.260217711855397,-0.561010222279731,-0.65114316965427,0.0898335023666503,-0.621797558881165,-0.374455982364988
2.05165217307174,-0.501498024139595,-0.342831982603904,-0.798234034511632,0.937175794784988,-0.673131963300799,-0.673131963300799
2.38265173937084,-0.234004269424918,-0.431502951542897,-0.645123975058263,0.0699018659158096,-0.637868921429439,-0.504053487831135
2.3534419940125,-0.264112657192844,-0.549743620803359,-0.54661855555598,0.220272456151029,-0.661620956659557,-0.551618659951787
1.99648676038512,1.06012685413397,-0.64069729780945,-0.655475247530493,-0.480950381193016,-0.648947564218131,-0.630543123767997
1.94718076417761,1.11991314009748,-0.655448003688142,-0.684138740552589,-0.372763045374674,-0.679050194769083,-0.675693919890601
2.22519333146075,-0.469771447006659,-0.575079729084889,-0.64462293423089,0.630998143018612,-0.620779549609404,-0.545937814547517
2.38403674210755,-0.325222674781121,-0.533439549810692,-0.588747157240422,0.123744962001391,-0.561093353525557,-0.499278968751153
2.40955778808578,-0.225339687591725,-0.512329872104708,-0.562179283806715,-0.0501546121818151,-0.550785132560542,-0.508769199840279
2.27062464255036,-0.439858509864544,-0.701454981777782,-0.242229058455637,0.448996655650877,-0.722459078062787,-0.61361967004049
2.40490882112875,-0.362046101181145,-0.565485253068751,-0.560011553914824,0.0202005564013958,-0.546327306030007,-0.39123916333542
2.32851409823102,-0.544019541451034,-0.582680828660752,-0.414504229298478,0.343257000011997,-0.648405016917273,-0.482161481915485
2.42068154778094,-0.252832843349033,-0.52842456654428,-0.429541157557281,-0.115494775311534,-0.562301289993529,-0.53208691502528
2.41294318063575,-0.149272195029573,-0.526463500927899,-0.553318545360789,-0.130351595542764,-0.535008287792909,-0.518529055981817
2.3412113507097,-0.246210115011104,-0.554869410864784,-0.575545153170772,0.258868732749464,-0.653817606186298,-0.569637798226204
2.34501734348273,-0.184460420564973,-0.614201802840956,-0.628193382729011,0.219296599061764,-0.569228867486493,-0.56822946892306
2.34079150875821,-0.22075611599953,-0.608647613462844,-0.584600431679404,0.251823282527204,-0.619102909890427,-0.559507720253206
2.01362631551019,-0.490856932273356,-0.726222002548183,-0.537266946130364,1.02741352104877,-0.69307199265032,-0.593621962956731
2.24005594580708,-0.313567700028175,-0.680645246477541,-0.692818736538362,0.550750094290101,-0.670344601041462,-0.433429756011642
2.17757689743639,-0.4143164708942,-0.562509913672887,-0.710703356451574,0.722496314985257,-0.668930708151541,-0.543612763251444
