1	27309.0	3297.0	284.0	19958.0
2	707.0	96.0	6.0	358.0
3	717.0	42.0	6.0	410.0
4	734.0	73.0	14.0	556.0
5	2336.0	297.0	4.0	791.0
6	895.0	121.0	20.0	295.0
7	1190.0	106.0	18.0	1107.0
8	1171.0	154.0	8.0	604.0
9	2253.0	223.0	10.0	1359.0
10	1265.0	189.0	10.0	234.0
11	1705.0	227.0	10.0	584.0
12	2159.0	369.0	4.0	315.0
13	1454.0	224.0	10.0	454.0
14	1390.0	217.0	14.0	349.0
15	1025.0	153.0	2.0	210.0
16	1137.0	172.0	4.0	272.0
17	2636.0	387.0	20.0	1250.0
18	2696.0	447.0	12.0	605.0
19	4547.0	585.0	18.0	2131.0
20	3847.0	522.0	8.0	3259.0
21	2797.0	410.0	12.0	1913.0
22	3679.0	442.0	12.0	1935.0
23	2659.0	346.0	22.0	1477.0
24	2972.0	463.0	8.0	735.0
25	1561.0	199.0	2.0	742.0
26	2672.0	358.0	18.0	1597.0
27	2015.0	175.0	8.0	1763.0
28	1411.0	119.0	6.0	1212.0
29	3156.0	396.0	16.0	1251.0
30	2444.0	261.0	8.0	1845.0
