1	75023.0	10488.0	362.0	102890.0
2	2053.0	235.0	10.0	3100.0
3	2985.0	487.0	14.0	1928.0
4	3120.0	517.0	12.0	2233.0
5	2548.0	357.0	6.0	2075.0
6	3905.0	615.0	12.0	911.0
7	2528.0	379.0	10.0	657.0
8	2187.0	306.0	10.0	526.0
9	3864.0	337.0	14.0	1079.0
10	3528.0	545.0	16.0	1202.0
11	2891.0	373.0	4.0	1081.0
12	3736.0	389.0	18.0	3182.0
13	3807.0	561.0	14.0	1577.0
14	4864.0	676.0	2.0	2148.0
15	29251.0	18923.0	20.0	2415.0
16	24387.0	16746.0	14.0	3667.0
17	4335.0	266.0	12.0	2214.0
18	3655.0	324.0	6.0	1082.0
19	4173.0	473.0	6.0	874.0
20	3155.0	316.0	18.0	1948.0
21	3295.0	262.0	8.0	1047.0
22	1550.0	64.0	32.0	772.0
23	3314.0	394.0	27.0	956.0
24	4860.0	662.0	6.0	818.0
25	2042.0	290.0	10.0	855.0
26	2975.0	444.0	8.0	973.0
27	2847.0	397.0	12.0	1001.0
28	1653.0	142.0	8.0	1264.0
29	3132.0	405.0	10.0	1632.0
30	2904.0	298.0	10.0	1790.0
